"STATIONID"	"COMID"	"BFICat_Import"	"NWs_Import"
"OML200_0018"	3408185	14.950143	0.044232643
"OSK_02_0016"	10161782	15	0.037940445
"OSK030_0017"	10161394	15	0.037254497
"OSK030_0019"	10161408	15	0.032619688
"OSK060_0001"	10163340	19.01576235	0.034540723
"OSK070_0018"	10161862	19.14809558	0.089089551
"OSK100_0001"	10163678	22.74510345	0.075514815
"OSK140_0040"	10161742	22	0.083953188
"OSK140_0041"	10163622	22.52571033	0.09744749
"OSK140_0042"	10163834	22	0.098988802
"OSK140_0043"	10163366	21.02273934	0.140434531
"OSK150_0005"	10163684	23	0.074986693
"UMI_02_0014"	13454462	37.3534687	0.102353809
"UMI_02_0015"	13453826	38	0.072336003
"UMI_02_0016"	13453292	37.54379439	0.145869453
"UMI_02_0017"	13453290	38.10277721	0.123158729
"UMI_03_0008"	13452502	43	0.059999999
"UMI_03_0010"	13452808	43	0.112349502
"UMI_04_0019"	13454468	40	0.100656255
"UMI_04_0022"	13453184	39.13508892	0.102164036
"UMI_05_0004"	13453680	39	0.107270937
"UMI_05_0005"	13454478	40	0.149679682
"UMI_05_0006"	13453460	40	0.114527598
"UMI_07_0001"	13453920	37.99596004	0.08815781
"UMI_07_0002"	13453954	36	0.077967393
"UMI_07_0003"	13454142	34.84604172	0.128159845
"UMI_13_0003"	13453068	40	0.147121422
"UMI030_0044"	13453502	38	0.104927563
"UMK_02_0014"	13431025	68	0.431035995
"UMK_02_0017"	13430917	68.28671329	0.405766778
"UMK_03_0036"	13433729	60.56534469	0.218739839
"UMK_04_0009"	13433241	66.76312662	0.387495677
"UMK_04_0010"	13433099	66.70860499	0.385728012
"UMK_04_0011"	13431189	66.22337148	0.381804743
"UMK_04_0012"	13434891	66.85143849	0.431035995
"UMK_05_0016"	13435141	63.69749288	0.201524552
"UMK_05_0017"	13434317	58.99869905	0.214392707
"UMK_05_0018"	13433965	62.82944942	0.199791608
"UMK_05_0019"	13435141	63.69749288	0.201524552
"UMK_05_0022"	13434045	59.96059638	0.127719968
"UMK_08_0001"	13436453	51.61670148	0.281857058
"UMK_08_0002"	13435207	56.55771391	0.283466438
"UMK_10_0007"	13436295	47.0511811	0.26775054
"UMK_10_0009"	13436195	56.12601088	0.177470396
"UMK_10_0014"	13436195	56.12601088	0.177470396
"UMK_11_0001"	13437957	41.86067218	0.253953699
"UMK_11_0002"	13437879	43.81863345	0.259984492
"UMK_12_0001"	13437925	41.79838837	0.246649105
"UMK_13_0013"	13435981	31	0.149776499
"WAE_02_0002"	18498354	33.92635213	0.149838001
"WAE_04_0001"	18498730	40.33186196	0.208757806
"WAE_06_0003"	18500096	33.94014085	0.173239951
"WAE_07_0002"	18499954	35.11286089	0.17606351
"WAE_07_0003"	18500110	39.35446072	0.176852972
"WAW_01_0001"	20097143	29.95627336	0.099513934
"WAW_03_0036"	20097581	38.26554622	0.160226949
"WAW_03_0037"	20097817	34.38794747	0.148311211
"WAW_04_0002"	20097287	36.11871593	0.092531425
"WAW_04_0003"	20097943	32.39279928	0.082702191
"WAW040_0018"	20097849	33.73205269	0.149838001
"WAW040_0043"	20097619	39.37982196	0.165421363
"WAW040_0065"	20097849	33.73205269	0.149838001
"WAW040_0080"	20097831	35	0.150728298
"WBU_04_0005"	10283320	32.03530895	0.15644242
"WBU_04_0006"	10283276	32.74060632	0.159940004
"WBU_05_0002"	10283550	32	0.292979002
"WBU_06_0001"	10283884	32	0.136765144
"WBU_07_0002"	10285814	29.09076714	0.186074699
"WBU_11_0001"	10286324	25	0.138165874
"WBU030_0060"	10283804	32.92827256	0.156897066
"WDE_01_0003"	20100104	41	0.043857001
"WDE_01_0004"	20100830	40.81671159	0.116148747
"WDE_03_0001"	20100744	39.01020323	0.154478645
"WDE_05_0007"	20100530	37	0.12032675
"WDE050_0025"	20100426	37.71564505	0.079306219
"WDE050_0031"	20100446	35.12835601	0.066141228
"WED_01_0006"	18459820	39.97497623	0.162135626
"WED_01_0008"	18459904	41.07283096	0.189680155
"WED_02_0003"	18460282	39.01869237	0.175003421
"WED_03_0001"	18460102	32.28455106	0.142672587
"WED_04_0001"	18459804	37.84850535	0.130500823
"WED_04_0003"	18459788	38.17729831	0.148536127
"WED_05_0001"	18460268	29.87000298	0.149838001
"WED_07_0001"	18461156	30.39207858	0.147508277
"WED_07_0003"	18461136	29.84464759	0.152216269
"WED_08_0004"	18459978	33.91757991	0.149874668
"WEF_01_0001"	18457857	40.07191731	0.191468394
"WEF_02_0001"	18458289	33.79440587	0.03312535
"WEF_06_0001"	18458257	30.99658114	0.09048329
"WEF_06_0002"	18458237	31.12213029	0.091789288
"WEF_06_0003"	18458301	31.32483998	0.099049126
"WEL_01_0003"	18445056	24.00506172	0.039443517
"WEL_04_0001"	18444126	23.37018235	0.071965589
"WEL_04_0002"	18443982	24	0.072336003
"WEL_09_0001"	18444828	25	0.02965726
"WEL_09_0004"	18444762	24.65488565	0.033749478
"WEL_10_0002"	18445658	26.92220845	0.089628241
"WEL_11_0001"	18445040	27.97094052	0.126057716
"WEL_13_0023"	18445344	26.01835471	0.049420608
"WEL_13_0024"	18445210	28.01156365	0.025723601
"WEL_13_0025"	18445240	28.08286986	0.026291012
"WEL_13_0026"	18445416	25.4265636	0.075388368
"WEL_14_0001"	18445180	29	0.120111347
"WEL_15_0001"	18445788	27	0.087331114
"WEM_02_0001"	18450419	17	0.02819157
"WEM_02_0002"	18450985	18.20341635	0.043970981
"WEM_06_0016"	18451021	17.5703369	0.068838698
"WEM_07_0002"	18450635	19.87367406	0.091330758
"WEM_07_0004"	18451107	18.49401887	0.046016023
"WEM_07_0005"	18450473	20	0.154335822
"WEM_08_0003"	18450889	18	0.081022643
"WEM_09_0005"	18451395	19	0.073548942
"WEM020_0036"	18450391	17	0.031659884
"WEM050_0048"	18449955	20.95515766	0.028744856
"WEU_01_0001"	18454641	27.00702757	0.040095499
"WEU_02_0001"	18454713	23.32437404	0.11207533
"WEU_03_0034"	18454631	27.60117393	0.035431532
"WEU_03_0035"	18454469	28.19057686	0.03423864
"WEU_04_0002"	18454599	24.34163777	0.072756869
"WEU_05_0001"	18454719	22.1347514	0.105351982
"WEU_06_0001"	18455821	23.17377964	0.103891419
"WEU010_0039"	18454435	32.13014332	0.034236649
"WEU010_0040"	18454525	28.12504349	0.049432103
"WLV_01_0080"	10204863	36	0.140618
"WLV_01_0081"	10204973	35.71215839	0.104946065
"WLV_02_0030"	10204807	36.80588877	0.149838001
"WLV_04_0002"	10205531	35	0.133106291
"WLV_04_0006"	10204427	37.08510638	0.104459771
"WLV_05_0110"	10205609	35.99714067	0.08946872
"WLV_06_0004"	10205849	34	0.08450279
"WLV_07_0006"	10205959	35.99956766	0.072336003
"WLV_08_0001"	10206707	35	0.13297431
"WLV_09_0001"	10206089	35	0.159940004
"WLV_12_0004"	10207847	26.21601319	0.0917095
"WLV_12_0005"	10207843	30.12563772	0.07694794
"WLV_13_0011"	10209193	33	0.04192845
"WLV_13_0013"	10209461	35	0.159940004
"WLV_15_0001"	10209229	34.43381535	0.159940004
"WLV_15_0002"	10209689	35.63175574	0.159940004
"WLV_15_0003"	10209351	35	0.159940004
"WLV_16_0002"	10209979	36	0.137385491
"WLV_16_0003"	10208671	35.85400348	0.15364211
"WLV_16_0004"	10206459	35	0.159146028
"WLV010_0022"	10204163	37.33966034	0.150388054
"WLV040_0003"	10206361	34	0.12327969
"WLV070_0013"	10206399	35	0.072431801
"WLV080_0015"	10205969	33.797356	0.149845592
"WLV110_0006"	10206279	35	0.146053982
"WLV160_0013"	10207857	31.35509366	0.10247285
"WLV160_0019"	10207847	26.21601319	0.0917095
"WLV160_0020"	10207847	26.21601319	0.0917095
"WLV160_0038"	10207843	30.12563772	0.07694794
"WLW_02_0001"	10380063	24.00289203	0.2653027
"WLW_03_0002"	24852152	18.25792564	0.130957641
"WLW_07_0002"	10381851	20	0.235649408
"WLW_07_0003"	10381903	16.15858661	0.191637184
"WLW_09_0001"	10384383	11.36780792	0.128164202
"WMI_01_0008"	18503465	26.90371389	0.149838001
"WMI_02_0021"	18503913	26.37961875	0.149838001
"WMI_05_0018"	18503849	28.30255489	0.149838001
"WMI_05_0019"	18503859	29.34341052	0.149838001
"WMI_05_0020"	18502917	25.00472927	0.149838001
"WMI_06_0006"	18503245	30.04364023	0.135785294
"WPA_01_0009"	18439418	24.45798089	0.02382645
"WPA_01_0010"	18439110	25	0.024324267
"WPA_02_0001"	18439230	26	0.160491775
"WPA_02_0002"	18439224	26	0.160521761
"WPA_02_0003"	18439302	25	0.159940004
"WPA_02_0004"	18439230	26	0.160491775
"WPA_02_0005"	18439250	24.55058945	0.159940004
