"SAMPLEID","BFI","LAT","LONG","STATIONID","COLLDATE","INDEX_REGION_LONG","INDEX_REGION","INDEX_NAME","ni_total","nt_LOW_N","nt_LOW_P","pi_Tol_13","pt_Achnan_Navic","pt_BC_12","pt_O_345","pt_PT_12","pt_SALINITY_34","pt_Sens_810"
"AB30797",31,41.35446627,-87.49644288,"UMK-13-0013","9/28/2017","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,1,29.5748613678373,19.6969696969697,6.06060606060606,36.3636363636364,12.1212121212121,22.7272727272727,15.1515151515152
"AB30893",11.36780792,37.880897,-88.076962,"WLW-09-0001","10/9/2017","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,2,85.3535353535353,7.69230769230769,15.3846153846154,30.7692307692308,19.2307692307692,7.69230769230769,7.69230769230769
"AB30894",35,40.04940772,-87.4311266,"WLV-08-0001","10/11/2017","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,0,73.1666666666667,20.5128205128205,15.3846153846154,30.7692307692308,10.2564102564103,10.2564102564103,17.9487179487179
"AB30895",36,39.93647677,-87.43231974,"WLV-16-0002","10/11/2017","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,2,54.424040066778,27.0833333333333,14.5833333333333,35.4166666666667,14.5833333333333,18.75,20.8333333333333
"AB30896",32,39.54005316,-87.41524105,"WBU-06-0001","10/11/2017","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,0,0,80.3333333333333,18.5185185185185,7.40740740740741,48.1481481481481,18.5185185185185,14.8148148148148,7.40740740740741
"AB30898",18.25792564,38.33330668,-87.82613293,"WLW-03-0002","10/10/2017","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,0,0,70.5,23.0769230769231,11.5384615384615,34.6153846153846,19.2307692307692,15.3846153846154,3.84615384615385
"AB30899",25,39.17363986,-87.61909002,"WBU-11-0001","10/10/2017","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,0,1,52.6845637583893,6.66666666666667,13.3333333333333,46.6666666666667,13.3333333333333,20,13.3333333333333
"AB30900",11.36780792,37.880897,-88.076962,"WLW-09-0001","10/9/2017","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,1,86.0738255033557,12,12,40,20,20,12
"AB34976",33.93295935,39.88619403,-87.21449056,"WSU-06-0012","10/4/2016","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,1,31.4814814814815,24.3243243243243,8.10810810810811,35.1351351351351,8.10810810810811,16.2162162162162,16.2162162162162
"AB34977",35,40.04940772,-87.4311266,"WLV-08-0001","10/11/2017","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,2,62.962962962963,19.5652173913043,8.69565217391304,32.6086956521739,8.69565217391304,10.8695652173913,6.52173913043478
"AB34978",33,39.81866069,-87.06981631,"WLV-13-0011","10/3/2016","Low_Lithologic_Nitrogen","LON","IDEM_2021_Diatoms",600,3,2,15.8249158249158,20,14.2857142857143,28.5714285714286,8.57142857142857,11.4285714285714,8.57142857142857
"AB34979",35.85400348,39.96693962,-87.33567535,"WLV-16-0003","10/5/2016","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,1,7.02341137123746,24.2424242424242,12.1212121212121,27.2727272727273,3.03030303030303,15.1515151515152,15.1515151515152
"AB34980",35,40.37032945,-87.32238994,"WLV-04-0002","9/27/2016","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,4,3,8.52842809364548,24.5283018867925,15.0943396226415,26.4150943396226,5.66037735849057,11.3207547169811,18.8679245283019
"AB35723",58.99869905,41.27019518,-86.38248937,"UMK-05-0017","9/20/2017","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,4,2,40.4436860068259,23.0769230769231,17.3076923076923,36.5384615384615,9.61538461538461,11.5384615384615,17.3076923076923
